    Student_ID,Age,Gender,Family_Income,Income_Bracket,Part_Time_Job,Scholarship,Parental_Education_Level,Financial_Stress_Index,Department,Academic_Year_Num,CGPA,Attendance_Rate,Low_Attendance_Flag,Study_Hours_per_Day,Assignment_Delay_Days,GPA_vs_Effort_Gap,Travel_Time_Minutes,Internet_Access,Stress_Index,Support_Access_Score,Academic_Risk_Score,Engagement_Score,Counseling_Priority_Score,Counseling_Urgency,Dropout
STU0014,17.0,Female,27000.0,Low,No,Yes,2,0.695,Business,1,2.7,84.0,0,4.2,1,-0.829,61.2,Yes,4.8,2,21.55,65.39,39.71,Moderate,0
STU0015,17.2,Male,29740.5,Low,Yes,No,2,0.989,Engineering,3,2.92,92.9,0,4.0,1,-1.138,36.0,Yes,5.5,1,16.68,68.72,44.89,Moderate,0
STU0016,19.8,Male,26246.0,Low,No,No,3,0.697,Arts,1,3.15,72.5,1,3.49,2,-1.595,52.2,No,7.0,0,24.25,55.68,47.79,High,0
STU0017,18.8,Female,28037.0,Low,No,Yes,1,0.693,Engineering,1,2.2,90.0,0,4.24,2,-0.311,36.5,Yes,4.6,2,28.5,68.61,41.47,Moderate,0
STU0018,21.7,Female,25000.0,Low,Yes,Yes,3,1.0,Business,4,1.78,77.2,0,4.8,0,0.358,34.8,Yes,4.3,2,29.04,65.33,47.57,High,0
STU0019,19.0,Female,37058.0,Middle,No,No,2,0.671,Arts,1,3.59,93.0,0,4.99,2,-1.367,22.5,Yes,4.7,1,13.7,74.28,34.51,Moderate,0
STU0020,17.9,Male,35168.0,Middle,No,No,2,0.676,Business,1,1.63,65.0,1,4.48,1,0.366,41.7,Yes,5.6,1,37.95,57.44,49.08,High,1
STU0021,24.2,Female,38833.0,Middle,No,Yes,2,0.667,CS,1,2.23,99.8,0,6.35,2,0.599,30.3,Yes,3.9,2,25.26,85.26,35.4,Moderate,0
STU0022,20.5,Male,35149.0,Middle,Yes,No,3,0.976,Arts,3,2.0,79.8,0,3.48,0,-0.45,31.0,Yes,6.3,1,26.06,59.28,51.8,High,0
STU0023,21.1,Female,46069.0,Middle,Yes,Yes,2,0.949,CS,3,3.92,72.3,1,6.25,2,-1.136,26.9,Yes,2.4,2,16.61,70.95,35.98,Moderate,0
STU0024,17.9,Female,26700.0,Low,No,Yes,2,0.696,Business,4,3.04,89.3,0,4.9,3,-0.857,28.8,Yes,4.0,2,24.06,71.93,37.75,Moderate,0
STU0025,19.8,Female,33559.0,Middle,Yes,No,4,0.979,Business,4,0.43,86.1,0,4.32,3,1.494,30.3,Yes,5.8,1,51.12,67.1,59.46,High,1
STU0026,21.2,Female,25000.0,Low,No,No,3,0.7,CS,2,3.66,85.6,0,4.42,2,-1.691,31.5,Yes,3.8,1,15.22,67.41,34.48,Moderate,0
STU0027,18.5,Female,25000.0,Low,No,No,2,0.7,Science,3,1.67,89.4,0,5.22,0,0.655,29.4,Yes,4.7,1,26.48,73.76,40.28,Moderate,0
STU0028,21.8,Female,66367.0,Upper-Middle,No,No,1,0.601,CS,3,0.82,82.3,0,3.07,4,0.547,11.3,Yes,5.3,1,52.11,58.24,52.38,High,0
STU0029,19.7,Male,25000.0,Low,Yes,No,1,1.0,Business,3,0.76,79.7,0,4.19,1,1.106,36.5,Yes,9.3,1,42.24,63.18,65.67,Critical,0
STU0030,20.4,Female,29740.5,Low,No,No,1,0.689,CS,1,3.03,72.7,1,4.0,3,-1.248,28.5,No,5.5,0,29.14,58.62,45.39,High,0
STU0031,19.7,Female,25000.0,Low,Yes,No,2,1.0,CS,4,3.82,81.1,0,6.08,7,-1.112,5.0,Yes,5.9,1,33.72,74.4,52.08,High,0
STU0032,25.1,Male,29740.5,Low,No,Yes,2,0.689,Science,3,2.48,77.9,0,4.0,3,-0.698,10.9,Yes,5.5,2,33.08,61.22,46.58,High,1
STU0033,21.0,Male,34785.0,Middle,No,No,4,0.677,Arts,4,3.53,81.9,0,6.6,2,-0.59,24.3,Yes,3.6,1,17.63,77.7,32.94,Moderate,0
STU0034,18.7,Male,29740.5,Low,Yes,Yes,2,0.989,Arts,3,1.65,67.9,1,4.0,1,0.132,45.3,Yes,5.5,2,36.88,56.22,54.85,High,0
STU0035,22.8,Female,25000.0,Low,Yes,Yes,2,1.0,Science,3,0.02,95.9,0,2.19,2,0.956,37.3,Yes,5.2,2,48.53,60.14,58.39,High,0
STU0036,18.3,Female,29740.5,Low,No,Yes,2,0.689,Arts,3,0.97,61.0,1,4.0,1,0.812,21.8,Yes,5.5,2,45.75,52.77,52.91,High,1
STU0037,21.5,Male,26034.0,Low,No,Yes,2,0.698,Business,4,1.45,80.9,0,2.9,1,-0.158,27.7,No,7.6,1,34.98,56.6,53.46,High,0
STU0038,17.0,Female,25000.0,Low,No,No,1,0.7,Science,2,3.42,78.5,0,6.16,0,-0.676,43.3,Yes,4.7,1,12.25,73.55,34.62,Moderate,0
STU0039,18.1,Male,77705.0,Upper-Middle,No,No,0,0.573,Business,2,2.01,70.8,1,2.25,1,-1.008,22.6,Yes,5.0,1,32.41,47.93,44.73,Moderate,0
STU0040,21.4,Female,29740.5,Low,Yes,No,3,0.989,Business,2,3.55,85.0,0,4.0,3,-1.768,17.0,Yes,5.5,1,20.25,64.77,46.91,High,0
STU0041,22.6,Male,25000.0,Low,No,No,2,0.7,Engineering,2,2.35,74.5,1,5.91,2,0.283,40.6,No,5.6,0,31.65,70.16,45.14,High,0
STU0042,21.4,Male,41216.0,Middle,Yes,Yes,1,0.961,Business,1,1.69,85.0,0,7.6,1,1.695,43.4,Yes,4.4,2,31.35,84.82,45.04,High,0
STU0043,20.7,Male,49772.0,Middle,No,Yes,2,0.641,Business,1,2.71,95.6,0,3.86,6,-0.991,22.7,Yes,6.7,2,36.72,69.29,48.86,High,0
STU0044,20.3,Male,41183.0,Middle,Yes,Yes,1,0.961,Business,3,2.82,72.1,1,4.15,2,-0.971,35.9,Yes,8.4,2,27.67,59.16,57.41,High,1
STU0045,17.7,Female,25000.0,Low,No,Yes,3,0.7,Engineering,4,0.5,89.0,0,2.48,1,0.605,29.5,Yes,7.4,2,42.05,58.31,55.57,High,0
STU0046,19.4,Female,25682.0,Low,No,No,3,0.698,Business,1,1.43,69.7,1,3.51,2,0.133,22.9,Yes,7.9,1,42.29,54.39,57.47,High,0
STU0047,20.0,Male,25000.0,Low,Yes,No,2,1.0,Business,4,3.66,75.6,0,6.84,1,-0.613,44.0,Yes,5.2,1,14.47,75.88,42.41,Moderate,0
STU0048,23.3,Male,25000.0,Low,Yes,No,2,1.0,CS,4,4.0,86.5,0,5.13,1,-1.715,22.0,Yes,3.6,1,7.8,71.81,36.35,Moderate,0
STU0049,21.8,Male,25000.0,Low,Yes,No,2,1.0,Business,2,3.77,79.8,0,5.58,2,-1.284,39.1,Yes,1.9,1,15.86,70.97,35.45,Moderate,0
STU0050,17.1,Female,27754.0,Low,No,No,1,0.693,Engineering,1,3.38,93.6,0,4.84,3,-1.224,30.8,Yes,1.8,1,19.37,73.75,30.05,Moderate,0
STU0051,21.7,Female,25000.0,Low,Yes,No,2,1.0,CS,4,3.94,83.0,0,5.39,1,-1.539,27.9,Yes,5.1,1,9.45,71.51,40.8,Moderate,0
STU0052,20.2,Male,26368.0,Low,No,No,2,0.697,Business,3,2.65,86.2,0,6.52,1,0.254,23.3,Yes,6.4,1,21.39,79.4,41.59,Moderate,0
STU0053,19.5,Female,25000.0,Low,Yes,No,1,1.0,Business,3,2.05,76.5,0,3.41,2,-0.531,18.2,Yes,7.0,1,34.05,57.24,57.53,High,0
STU0054,22.3,Male,33661.0,Middle,No,No,3,0.679,Business,4,2.47,73.7,1,4.96,4,-0.261,27.0,Yes,5.9,1,38.19,64.47,48.94,High,1
STU0055,23.3,Female,25000.0,Low,No,Yes,2,0.7,Business,1,0.0,72.8,1,3.1,0,1.381,23.9,Yes,4.2,2,48.16,53.66,50.72,High,1
STU0056,23.0,Female,35396.0,Middle,Yes,Yes,1,0.975,Science,1,0.93,74.5,1,1.35,0,-0.329,31.1,Yes,6.7,2,38.35,44.77,59.87,High,1
STU0057,19.2,Female,56894.0,Middle,No,No,2,0.623,Science,4,2.68,76.4,0,4.34,1,-0.747,15.6,Yes,3.3,1,24.03,62.36,35.97,Moderate,0
STU0058,20.3,Female,77162.0,Upper-Middle,No,Yes,2,0.575,Engineering,4,2.57,91.3,0,4.16,3,-0.717,28.2,Yes,3.5,2,28.16,68.81,36.19,Moderate,0
STU0059,21.7,Female,25000.0,Low,No,No,3,0.7,Business,2,0.42,85.2,0,3.9,5,1.317,34.9,Yes,6.6,1,58.99,64.31,59.45,High,1
STU0060,23.1,Female,25000.0,Low,No,No,1,0.7,Science,1,0.35,71.8,1,3.17,2,1.062,21.9,Yes,3.3,1,52.46,53.55,50.2,High,0
STU0061,19.9,Female,25000.0,Low,Yes,No,1,1.0,Arts,3,4.0,78.7,0,4.18,2,-2.138,38.9,Yes,4.1,1,13.89,62.62,41.41,Moderate,0
STU0062,20.6,Male,39191.0,Middle,Yes,Yes,4,0.966,Science,2,2.32,81.8,0,4.55,3,-0.293,40.2,Yes,3.7,2,33.51,66.23,47.04,High,0
STU0063,18.6,Male,25000.0,Low,Yes,Yes,2,1.0,Engineering,1,3.13,100.0,0,6.55,0,-0.212,15.5,Yes,5.8,2,8.7,86.47,40.01,Moderate,0
STU0064,18.4,Male,25000.0,Low,No,No,4,0.7,Engineering,3,1.71,82.1,0,4.7,1,0.384,20.9,Yes,6.6,1,32.02,67.22,48.22,High,0
STU0065,22.8,Female,32151.0,Middle,No,No,1,0.683,Arts,2,1.63,85.6,0,4.76,1,0.49,13.9,No,6.6,0,31.77,69.3,47.47,High,0
STU0066,24.0,Male,31286.0,Middle,No,Yes,2,0.685,CS,4,3.04,74.1,1,3.03,2,-1.69,35.1,Yes,4.5,2,24.87,53.92,41.81,Moderate,0
STU0067,20.8,Male,37293.0,Middle,No,No,2,0.67,Science,4,3.68,87.8,0,2.76,0,-2.451,31.5,Yes,5.2,1,6.86,59.27,35.25,Moderate,0
STU0068,23.2,Male,38801.0,Middle,Yes,No,1,0.967,Arts,3,4.0,93.0,0,2.72,2,-2.788,10.8,Yes,6.8,1,9.6,61.64,45.93,High,0
STU0069,21.8,Male,36430.0,Middle,No,No,3,0.673,Engineering,1,1.48,80.8,0,3.61,1,0.128,22.2,Yes,4.5,1,34.71,60.5,44.52,Moderate,0
STU0070,19.6,Female,33396.0,Middle,No,No,4,0.68,Engineering,1,2.97,86.9,0,4.08,4,-1.153,33.7,Yes,3.9,1,29.23,66.17,40.12,Moderate,0
STU0071,21.8,Female,30744.0,Middle,No,Yes,2,0.686,Business,4,2.28,86.6,0,4.28,3,-0.374,31.4,Yes,4.3,2,32.47,67.13,42.39,Moderate,0
STU0072,24.4,Female,44305.0,Middle,No,No,2,0.654,CS,3,3.55,82.6,0,2.94,1,-2.24,44.5,Yes,4.4,1,13.47,57.67,35.82,Moderate,0
STU0073,20.9,Female,25000.0,Low,Yes,No,2,1.0,Arts,1,2.33,92.3,0,1.09,1,-1.844,16.2,Yes,5.6,1,22.76,52.22,50.27,High,0
STU0074,24.4,Female,75102.0,Upper-Middle,Yes,No,2,0.88,Engineering,1,4.0,75.6,0,3.45,2,-2.463,29.9,Yes,5.5,1,14.82,57.01,43.73,Moderate,0
STU0075,17.0,Male,25000.0,Low,No,No,3,0.7,CS,4,3.97,75.0,0,5.22,1,-1.645,18.0,No,5.2,0,11.55,66.56,36.64,Moderate,0
STU0076,22.8,Male,25000.0,Low,Yes,No,2,1.0,Science,2,2.52,82.0,0,3.51,2,-0.957,31.3,Yes,4.1,1,27.7,60.54,47.25,High,0
STU0077,21.2,Female,29740.5,Low,No,No,2,0.689,Science,3,3.59,79.0,0,4.0,2,-1.808,27.8,Yes,5.5,1,17.9,61.77,40.42,Moderate,0
STU0078,20.3,Male,44514.0,Middle,Yes,No,0,0.953,Science,1,1.8,58.7,1,1.93,3,-0.94,33.3,Yes,6.7,1,45.64,40.1,63.05,High,1
STU0079,21.2,Male,25000.0,Low,No,No,1,0.7,Engineering,4,1.27,76.1,0,4.16,2,0.583,25.1,Yes,6.1,1,41.97,61.21,51.86,High,0
STU0080,17.0,Female,29235.0,Low,No,Yes,1,0.69,CS,1,1.17,65.0,1,4.53,0,0.848,39.1,Yes,4.7,2,38.8,57.72,47.41,High,0
STU0081,20.5,Male,29740.5,Low,No,No,3,0.689,CS,1,1.85,79.4,0,4.0,2,-0.068,21.4,No,5.5,0,35.18,61.97,47.31,High,0
STU0082,21.8,Male,53998.0,Middle,No,No,3,0.63,CS,1,0.76,87.7,0,5.25,1,1.579,17.8,Yes,7.7,1,39.84,73.08,51.82,High,0
STU0083,24.3,Male,25000.0,Low,No,Yes,2,0.7,Engineering,3,0.89,82.4,0,5.56,2,1.587,32.7,Yes,5.4,2,43.88,72.16,49.23,High,0
STU0084,19.9,Male,25000.0,Low,No,No,3,0.7,Science,4,1.86,83.1,0,6.75,0,1.147,52.2,Yes,5.5,1,26.47,79.13,41.47,Moderate,0
STU0085,19.2,Male,25000.0,Low,No,No,2,0.7,Arts,4,3.11,80.8,0,2.8,2,-1.863,11.7,Yes,8.2,1,22.16,55.99,49.97,High,0
STU0086,19.9,Male,25000.0,Low,No,No,3,0.7,Engineering,2,2.94,83.7,0,4.37,0,-0.993,16.3,Yes,7.4,1,15.49,66.18,43.77,Moderate,0
STU0087,23.0,Female,25000.0,Low,No,Yes,3,0.7,Arts,3,3.2,100.0,0,2.46,1,-2.104,32.8,Yes,4.3,2,11.75,63.7,34.89,Moderate,0
STU0088,21.7,Female,25000.0,Low,Yes,No,3,1.0,CS,4,1.42,79.2,0,4.79,3,0.714,43.5,Yes,7.4,1,43.29,66.27,60.88,High,1
STU0089,19.8,Male,29740.5,Low,No,No,1,0.689,Arts,3,2.7,81.9,0,4.0,0,-0.918,33.7,Yes,5.5,1,18.43,63.22,40.42,Moderate,1
STU0090,22.1,Female,32176.0,Middle,No,No,2,0.683,Science,1,2.94,75.1,0,1.49,1,-2.276,22.7,Yes,3.6,1,21.82,45.85,39.51,Moderate,0
STU0091,21.2,Male,39933.0,Middle,No,No,1,0.664,Arts,3,2.64,66.8,1,4.35,1,-0.702,35.0,Yes,7.8,1,27.31,57.62,50.06,High,0
STU0092,23.1,Male,33807.0,Middle,Yes,No,1,0.979,Business,4,0.67,84.1,0,3.74,0,0.996,36.2,No,4.2,0,38.07,62.87,50.88,High,1
STU0093,19.5,Male,29740.5,Low,No,No,1,0.689,CS,1,3.8,91.1,0,4.0,3,-2.018,21.8,No,5.5,0,15.92,67.82,38.72,Moderate,0
STU0094,20.3,Female,50359.0,Middle,No,No,1,0.639,Business,3,3.63,100.0,0,3.62,0,-2.018,39.9,Yes,4.8,1,3.7,70.16,30.74,Moderate,0
STU0095,20.1,Male,25000.0,Low,No,Yes,1,0.7,Arts,1,0.01,80.5,0,6.68,3,2.966,29.6,Yes,9.2,2,57.0,77.44,63.18,High,0
STU0096,17.8,Female,25000.0,Low,No,No,3,0.7,CS,4,0.43,79.9,0,4.75,0,1.686,9.0,Yes,3.8,1,41.73,66.4,45.23,High,1
STU0097,21.7,Female,29740.5,Low,Yes,No,2,0.989,CS,4,1.5,74.5,1,4.0,0,0.282,28.4,Yes,5.5,1,32.65,59.52,52.66,High,0
STU0098,21.6,Female,29331.0,Low,No,No,4,0.69,Business,2,2.62,95.7,0,3.57,4,-1.03,23.2,No,4.9,0,30.09,67.73,42.93,Moderate,0
STU0099,21.0,Female,25000.0,Low,No,Yes,4,0.7,Engineering,1,2.13,72.1,1,1.48,2,-1.471,45.7,Yes,6.4,2,34.57,44.29,52.18,High,0
STU0100,20.5,Female,51391.0,Middle,Yes,Yes,1,0.937,CS,2,1.4,87.3,0,2.6,0,-0.242,14.1,Yes,5.4,2,29.81,58.13,50.44,High,0
STU0101,17.9,Male,97535.0,Upper-Middle,No,Yes,3,0.526,Business,3,4.0,96.6,0,6.19,1,-1.243,24.2,Yes,4.3,2,4.77,82.77,25.76,Moderate,1
STU0102,20.1,Male,29740.5,Low,Yes,Yes,1,0.989,Science,3,2.3,80.0,0,4.0,2,-0.518,33.1,Yes,5.5,2,30.5,62.27,51.39,High,0
STU0103,20.2,Female,31276.0,Middle,Yes,No,2,0.985,Engineering,1,2.3,72.7,1,4.59,1,-0.255,59.0,Yes,7.9,1,28.94,61.91,56.74,High,0
STU0104,19.2,Female,49497.0,Middle,No,Yes,2,0.641,Business,4,3.24,88.3,0,4.51,2,-1.231,53.5,Yes,2.6,2,18.61,69.26,31.37,Moderate,0
STU0105,20.6,Male,25000.0,Low,No,No,2,0.7,Science,4,1.92,71.2,1,5.84,2,0.681,29.5,Yes,4.3,1,36.94,68.12,44.31,Moderate,0
STU0106,21.9,Male,30245.0,Middle,Yes,No,0,0.987,Arts,1,1.01,91.5,0,4.42,0,0.959,34.2,Yes,6.4,1,32.45,70.36,53.17,High,0
STU0107,25.1,Male,29740.5,Low,Yes,Yes,3,0.989,Engineering,1,3.36,97.9,0,4.0,4,-1.578,37.2,Yes,5.5,2,22.03,71.22,46.66,High,1
STU0108,21.4,Male,29740.5,Low,Yes,No,1,0.989,Engineering,2,1.66,63.0,1,4.0,3,0.122,17.9,Yes,5.5,1,45.75,53.77,58.76,High,1
STU0109,21.6,Male,29740.5,Low,No,No,2,0.689,Science,2,1.55,95.3,0,4.0,1,0.232,30.1,No,5.5,0,29.66,69.92,43.91,Moderate,0
STU0110,20.8,Female,26596.0,Low,No,No,2,0.696,Business,2,1.43,87.1,0,3.64,2,0.191,46.3,Yes,6.6,1,37.07,63.82,50.68,High,0
STU0111,17.0,Female,28669.0,Low,No,Yes,2,0.691,Business,1,4.0,93.1,0,6.21,0,-1.234,31.7,No,6.4,1,2.07,81.13,33.48,Moderate,0
STU0112,20.9,Male,25000.0,Low,Yes,No,2,1.0,Business,1,1.19,76.8,0,2.63,1,-0.019,53.4,No,6.8,0,38.81,53.04,59.57,High,1
STU0113,21.1,Female,104579.0,Upper-Middle,Yes,No,3,0.809,Science,3,2.68,87.0,0,3.34,2,-1.192,24.7,Yes,6.1,1,24.6,62.1,46.96,High,0
STU0114,26.4,Female,25000.0,Low,No,No,1,0.7,Arts,2,2.13,83.9,0,1.63,2,-1.404,28.9,Yes,4.9,1,31.03,51.03,46.01,High,1
STU0115,20.6,Male,25000.0,Low,Yes,No,1,1.0,Business,4,1.49,75.7,0,5.31,1,0.875,29.0,Yes,7.2,1,36.14,67.42,57.34,High,0
STU0116,21.7,Male,28108.0,Low,No,Yes,2,0.693,Business,1,2.83,79.2,0,4.45,3,-0.848,14.4,Yes,4.6,2,29.19,64.38,42.38,Moderate,0
STU0117,20.9,Female,51263.0,Middle,No,Yes,1,0.637,CS,4,2.48,86.6,0,6.26,0,0.308,43.3,Yes,5.2,2,19.22,78.16,36.7,Moderate,0
STU0118,18.4,Female,30045.0,Middle,Yes,No,3,0.988,Science,4,2.69,73.0,1,3.17,2,-1.278,26.0,No,2.5,0,28.7,54.15,44.37,Moderate,0
STU0119,23.5,Male,39789.0,Middle,Yes,Yes,2,0.964,Science,3,2.96,72.4,1,2.97,2,-1.637,33.1,Yes,4.6,2,26.18,52.74,48.34,High,0
STU0120,22.7,Female,29740.5,Low,Yes,Yes,3,0.989,Engineering,1,0.0,56.8,1,4.0,0,1.782,22.8,Yes,5.5,2,52.96,50.67,62.11,High,0
STU0121,22.7,Male,72592.0,Upper-Middle,No,Yes,2,0.586,Arts,2,1.83,75.8,0,4.59,3,0.215,50.7,No,5.5,1,40.21,63.46,47.04,High,1
STU0122,19.0,Male,41649.0,Middle,No,No,0,0.66,Engineering,2,2.67,84.3,0,3.54,4,-1.093,44.8,Yes,7.2,1,33.01,61.86,50.12,High,1
STU0123,24.1,Male,55749.0,Middle,No,No,2,0.626,Arts,4,0.0,77.9,0,4.39,0,1.955,30.7,Yes,4.7,1,46.63,63.39,48.41,High,0
STU0124,17.9,Male,37016.0,Middle,Yes,No,2,0.971,CS,1,1.18,92.2,0,3.45,1,0.357,15.3,Yes,4.8,1,34.29,65.31,50.34,High,0
STU0125,22.3,Female,48773.0,Middle,No,No,1,0.643,Arts,4,1.87,70.4,1,5.87,2,0.745,38.9,Yes,4.5,1,37.68,67.88,44.0,Moderate,1
STU0126,25.8,Female,25000.0,Low,Yes,No,3,1.0,Science,4,3.41,86.1,0,5.64,3,-0.898,43.0,Yes,5.9,1,21.32,74.45,47.11,High,0
STU0127,18.8,Male,25000.0,Low,Yes,No,3,1.0,CS,2,1.92,79.1,0,4.11,1,-0.089,18.9,Yes,8.3,1,30.82,62.43,58.71,High,0
STU0128,19.8,Female,66695.0,Upper-Middle,No,No,2,0.6,Science,1,4.0,81.2,0,5.37,0,-1.608,28.3,Yes,1.3,1,5.64,70.5,21.93,Low,0
STU0129,21.2,Female,75799.0,Upper-Middle,No,Yes,1,0.578,Arts,2,1.8,87.5,0,3.83,1,-0.094,30.9,Yes,4.6,2,29.5,65.08,40.1,Moderate,0
STU0130,19.9,Male,25000.0,Low,No,No,1,0.7,Arts,3,1.92,60.9,1,3.94,2,-0.165,43.0,Yes,4.9,1,40.03,52.39,49.4,High,1
STU0131,17.6,Female,34539.0,Middle,No,No,2,0.677,Business,3,1.93,64.9,1,1.19,1,-1.4,28.2,Yes,1.7,1,34.98,39.08,40.92,Moderate,0
STU0132,21.2,Male,25000.0,Low,No,No,2,0.7,CS,4,1.5,81.5,0,4.66,2,0.576,41.5,Yes,5.3,1,38.05,66.7,47.46,High,0
STU0133,18.7,Female,25000.0,Low,No,Yes,1,0.7,Arts,1,2.28,80.2,0,4.03,2,-0.485,20.7,Yes,4.9,2,30.64,62.54,44.12,Moderate,0
STU0134,22.0,Male,35274.0,Middle,No,No,1,0.675,Engineering,1,2.56,70.6,1,5.14,3,-0.27,17.3,Yes,4.7,1,34.47,63.92,44.45,Moderate,0
STU0135,19.0,Female,58958.0,Middle,No,No,3,0.618,Science,4,2.72,98.0,0,4.93,1,-0.524,52.0,Yes,3.5,1,17.15,76.45,31.5,Moderate,0
STU0136,24.4,Male,38988.0,Middle,Yes,Yes,3,0.966,Engineering,3,1.79,72.7,1,3.03,1,-0.44,14.3,Yes,5.3,2,34.04,53.22,53.2,High,0
STU0137,19.3,Female,25000.0,Low,Yes,No,4,1.0,CS,3,2.29,77.7,0,3.75,2,-0.62,21.0,Yes,3.4,1,31.29,59.73,47.06,High,0
STU0138,20.3,Female,40494.0,Middle,No,Yes,2,0.663,CS,2,1.88,91.2,0,3.38,2,-0.374,39.4,No,4.0,1,31.34,64.42,41.13,Moderate,0
STU0139,22.8,Male,25000.0,Low,No,No,2,0.7,Arts,3,3.95,76.6,0,5.36,3,-1.562,23.6,Yes,5.1,1,18.77,68.14,39.04,Moderate,0
STU0140,18.3,Male,38073.0,Middle,No,No,1,0.669,Business,3,1.01,75.1,0,6.05,1,1.685,23.3,Yes,7.3,1,41.12,71.24,52.39,High,0
STU0141,21.5,Male,68726.0,Upper-Middle,Yes,No,2,0.895,CS,3,0.83,85.1,0,5.04,1,1.415,27.6,Yes,6.2,1,39.92,70.61,53.78,High,1
STU0142,23.9,Female,25000.0,Low,No,No,2,0.7,CS,1,3.93,76.1,0,6.58,1,-0.999,5.0,No,6.6,0,11.62,74.69,38.94,Moderate,0
STU0143,17.5,Male,47971.0,Middle,No,No,2,0.645,Science,2,2.96,85.2,0,4.68,2,-0.875,43.4,Yes,9.0,1,22.34,68.66,49.04,High,0
STU0144,21.4,Female,25000.0,Low,No,Yes,1,0.7,Business,3,2.63,86.1,0,2.73,1,-1.414,32.1,Yes,6.3,2,21.62,58.25,44.66,Moderate,0
STU0145,21.6,Male,62131.0,Upper-Middle,Yes,No,1,0.911,Arts,4,0.97,85.0,0,2.2,4,0.01,20.3,Yes,3.6,1,49.8,54.75,53.93,High,0
STU0146,22.7,Male,25000.0,Low,No,Yes,3,0.7,Engineering,2,2.73,91.4,0,2.8,3,-1.483,9.4,Yes,4.5,2,26.53,61.29,41.67,Moderate,0
STU0147,18.3,Male,25000.0,Low,No,Yes,1,0.7,Business,2,1.91,78.9,0,3.41,1,-0.391,13.6,Yes,4.0,2,30.98,58.44,42.63,Moderate,0
STU0148,18.1,Male,45124.0,Middle,No,Yes,3,0.652,Engineering,2,2.27,78.0,0,3.12,0,-0.88,10.9,Yes,5.3,2,23.9,56.37,42.39,Moderate,0
STU0149,22.1,Female,36994.0,Middle,No,No,1,0.671,Science,2,3.09,81.3,0,4.07,3,-1.277,32.7,Yes,4.8,1,25.96,63.31,41.31,Moderate,0
STU0150,21.7,Female,25000.0,Low,No,No,2,0.7,CS,1,3.26,59.4,1,3.77,5,-1.581,32.8,Yes,3.8,1,38.33,50.69,46.23,High,0
STU0151,21.6,Male,25000.0,Low,Yes,Yes,1,1.0,CS,4,2.53,83.7,0,4.1,0,-0.704,37.3,Yes,7.2,2,19.59,64.68,51.13,High,0
